,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
0,H.R. 8414,https://www.congress.gov/bill/117th-congress/house-bill/8414,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal the diesel fuel tax.,"Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
1,H.R. 8413,https://www.congress.gov/bill/117th-congress/house-bill/8413,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal certain taxes imposed on heavy trucks and trailers sold at retail.,"Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
2,H.R. 8412,https://www.congress.gov/bill/117th-congress/house-bill/8412,117th Congress (2021-2022),"To amend title 23, United States Code, with respect to vehicle weight limitations, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,introduced,Reupblican,July,2022
3,H.R. 8411,https://www.congress.gov/bill/117th-congress/house-bill/8411,117th Congress (2021-2022),"To amend title 49, United States Code, with respect to length limitations of certain semitrailer or trailers operating in a truck tractor-semitrailer-trailer combination, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,introduced,Reupblican,July,2022
4,H.R. 8408,https://www.congress.gov/bill/117th-congress/house-bill/8408,117th Congress (2021-2022),"To require a time limitation on covered agency mask mandate requirements, and for other purposes.","Rep. Ellzey, Jake [R-TX-6]",2022-07-18,,"House - Transportation and Infrastructure, Homeland Security, Energy and Commerce, Rules","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on Homeland Security, Energy and Commerce, and Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
5,H.R. 8402,https://www.congress.gov/bill/117th-congress/house-bill/8402,117th Congress (2021-2022),"To amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes.","Rep. Lesko, Debbie [R-AZ-8]",2022-07-15,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
6,H.R. 8400,https://www.congress.gov/bill/117th-congress/house-bill/8400,117th Congress (2021-2022),"To amend title IV of the Weather Research and Forecasting Innovation Act of 2017 to research the impact of obstructions on radar detection and prediction capabilities, and for other purposes.","Rep. Feenstra, Randy [R-IA-4]",2022-07-15,,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",introduced,Reupblican,July,2022
7,H.R. 8399,https://www.congress.gov/bill/117th-congress/house-bill/8399,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal the National Firearms Act.,"Rep. Cawthorn, Madison [R-NC-11]",2022-07-15,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
8,H.R. 8397,https://www.congress.gov/bill/117th-congress/house-bill/8397,117th Congress (2021-2022),"To authorize the National Mesonet Program of the National Weather Service, and for other purposes.","Rep. Bice, Stephanie I. [R-OK-5]",2022-07-15,,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",introduced,Reupblican,July,2022
9,H.R. 8392,https://www.congress.gov/bill/117th-congress/house-bill/8392,117th Congress (2021-2022),"To authorize the Secretary of Education to make grants to local educational agencies to make physical improvements at the elementary schools and secondary schools served by such agencies, and for other purposes.","Rep. Van Drew, Jefferson [R-NJ-2]",2022-07-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,July,2022
10,H.R. 8389,https://www.congress.gov/bill/117th-congress/house-bill/8389,117th Congress (2021-2022),"To study how the Great Salt Lake and other saline lakes are affected by drought and to require a feasibility study on drought solutions, and for other purposes.","Rep. Stewart, Chris [R-UT-2]",2022-07-14,,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,introduced,Reupblican,July,2022
11,H.R. 8388,https://www.congress.gov/bill/117th-congress/house-bill/8388,117th Congress (2021-2022),To amend the Fair Labor Standards Act of 1938 to exclude child and dependent care services and payments from the rate used to compute overtime compensation.,"Rep. Stefanik, Elise M. [R-NY-21]",2022-07-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,July,2022
12,H.R. 8387,https://www.congress.gov/bill/117th-congress/house-bill/8387,117th Congress (2021-2022),"To amend the Indian Law Enforcement Reform Act to provide for advancements in public safety services to Indian communities, and for other purposes.","Rep. Newhouse, Dan [R-WA-4]",2022-07-14,,"House - Judiciary, Natural Resources","Referred to the Committee on the Judiciary, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
13,H.R. 8384,https://www.congress.gov/bill/117th-congress/house-bill/8384,117th Congress (2021-2022),"To require the Secretary of Health and Human Services to furnish tailored information to expecting mothers, and for other purposes.","Rep. Mace, Nancy [R-SC-1]",2022-07-14,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
14,H.R. 8382,https://www.congress.gov/bill/117th-congress/house-bill/8382,117th Congress (2021-2022),"To amend the Immigration and Nationality Act to require an alien arriving from a foreign territory contiguous to the United States to return to such territory, and for other purposes.","Rep. Gimenez, Carlos A. [R-FL-26]",2022-07-14,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,July,2022
15,H.R. 8381,https://www.congress.gov/bill/117th-congress/house-bill/8381,117th Congress (2021-2022),"To prohibit the Secretary of the Air Force from entering into an agreement that would provide for or permit the joint use of Homestead Air Reserve Base, Homestead, Florida, by the Air Force and civil aircraft.","Rep. Gimenez, Carlos A. [R-FL-26]",2022-07-14,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
16,H.R. 8378,https://www.congress.gov/bill/117th-congress/house-bill/8378,117th Congress (2021-2022),"To prohibit the use of Federal funds for travel expenses of any individual traveling across State lines for purposes of having an abortion, and for other purposes.","Rep. Cawthorn, Madison [R-NC-11]",2022-07-14,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
17,H.R. 8375,https://www.congress.gov/bill/117th-congress/house-bill/8375,117th Congress (2021-2022),"To establish the Prairie du Rocher French Colonial National Historical Park in the State of Illinois, and for other purposes.","Rep. Bost, Mike [R-IL-12]",2022-07-14,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Reupblican,July,2022
18,H.R. 8374,https://www.congress.gov/bill/117th-congress/house-bill/8374,117th Congress (2021-2022),Shall Not Be Infringed Act,"Rep. Boebert, Lauren [R-CO-3]",2022-07-14,,"House - Judiciary, Energy and Commerce, Education and Labor, Oversight and Reform, Transportation and Infrastructure, Budget, Ways and Means, Homeland Security","Referred to the Committee on the Judiciary, and in addition to the Committees on Energy and Commerce, Education and Labor, Oversight and Reform, Transportation and Infrastructure, the Budget, Ways and Means, and Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
19,H.R. 8371,https://www.congress.gov/bill/117th-congress/house-bill/8371,117th Congress (2021-2022),Border Bonds for America Act of 2022,"Rep. Palazzo, Steven M. [R-MS-4]",2022-07-14,,"House - Ways and Means, Homeland Security","Referred to the Committee on Ways and Means, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
20,H.R. 8370,https://www.congress.gov/bill/117th-congress/house-bill/8370,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 415 High Street in Freeport, Pennsylvania, as the ""Corporal Joseph Rodney Chapman Post Office"".","Rep. Thompson, Glenn [R-PA-15]",2022-07-13,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,July,2022
21,H.R. 8369,https://www.congress.gov/bill/117th-congress/house-bill/8369,117th Congress (2021-2022),"To require the Executive Office of the President to provide an inflation estimate with respect to executive orders with a significant effect on the annual gross budget, and for other purposes.","Rep. Stefanik, Elise M. [R-NY-21]",2022-07-13,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,July,2022
22,H.R. 8364,https://www.congress.gov/bill/117th-congress/house-bill/8364,117th Congress (2021-2022),"To prohibit the Secretary of Agriculture from establishing or enforcing certain requirements related to spaces reserved for biological males and biological females in schools that participate in the school meal programs, and for other purposes.","Rep. Lesko, Debbie [R-AZ-8]",2022-07-13,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,July,2022
23,H.R. 8362,https://www.congress.gov/bill/117th-congress/house-bill/8362,117th Congress (2021-2022),"To amend part D of title IV of the Social Security Act to ensure that child support for unborn children is collected and distributed under the child support enforcement program, and for other purposes.","Rep. Johnson, Mike [R-LA-4]",2022-07-13,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
24,H.R. 8359,https://www.congress.gov/bill/117th-congress/house-bill/8359,117th Congress (2021-2022),"To amend title 49, United States Code, to clarify the use of detection at range technology for the screening of passengers, and for other purposes.","Rep. Gimenez, Carlos A. [R-FL-26]",2022-07-13,,House - Homeland Security,Referred to the House Committee on Homeland Security.,introduced,Reupblican,July,2022
25,H.R. 8356,https://www.congress.gov/bill/117th-congress/house-bill/8356,117th Congress (2021-2022),"To amend the William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 with respect to minor children, and for other purposes.","Rep. Crenshaw, Dan [R-TX-2]",2022-07-13,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,July,2022
26,H.R. 8355,https://www.congress.gov/bill/117th-congress/house-bill/8355,117th Congress (2021-2022),"To amend the Immigration and Nationality Act to reform the asylum claim process, and for other purposes.","Rep. Crenshaw, Dan [R-TX-2]",2022-07-13,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,July,2022
27,H.R. 8354,https://www.congress.gov/bill/117th-congress/house-bill/8354,117th Congress (2021-2022),To prohibit Federal financial participation under Medicaid for non-emergency transportation provided to access services for which Federal financial participation is prohibited.,"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",2022-07-13,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
28,H.R. 8353,https://www.congress.gov/bill/117th-congress/house-bill/8353,117th Congress (2021-2022),"To amend the Internal Revenue Code of 1986 to make incarcerated taxpayers ineligible for recovery rebates, and for other purposes.","Rep. Budd, Ted [R-NC-13]",2022-07-13,,"House - Ways and Means, Judiciary","Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
29,H.R. 8348,https://www.congress.gov/bill/117th-congress/house-bill/8348,117th Congress (2021-2022),"To provide it is the policy of the United States that the NATO-Russia Founding Act, signed May 27, 1997, in Paris, does not constrain the deployment of United States or NATO forces in any way.","Rep. Bacon, Don [R-NE-2]",2022-07-13,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,July,2022
30,H.R. 8347,https://www.congress.gov/bill/117th-congress/house-bill/8347,117th Congress (2021-2022),"To protect the cost-of-living allowance for a member of the Armed Forces assigned to a duty station located outside the United States, and for other purposes.","Rep. Bacon, Don [R-NE-2]",2022-07-13,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
31,H.R. 8346,https://www.congress.gov/bill/117th-congress/house-bill/8346,117th Congress (2021-2022),"To amend title 10, United States Code, to authorize the Secretary of a military department to provide certain support to a foundation that supports a Military Service Academy.","Rep. Bacon, Don [R-NE-2]",2022-07-13,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
32,H.R. 8344,https://www.congress.gov/bill/117th-congress/house-bill/8344,117th Congress (2021-2022),To amend title XVIII of the Social Security Act to provide for additional requirements with respect to electrodiagnostic services under the Medicare program.,"Rep. Sessions, Pete [R-TX-17]",2022-07-13,,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
33,H.R. 8342,https://www.congress.gov/bill/117th-congress/house-bill/8342,117th Congress (2021-2022),Military Interstate Children’s Compact Commission Improvement Act,"Rep. Wilson, Joe [R-SC-2]",2022-07-12,,"House - Armed Services, Education and Labor","Referred to the Committee on Armed Services, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
34,H.R. 8339,https://www.congress.gov/bill/117th-congress/house-bill/8339,117th Congress (2021-2022),To modify the annual report on military and security developments involving the Russian Federation.,"Rep. Pfluger, August [R-TX-11]",2022-07-12,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,July,2022
35,H.R. 8337,https://www.congress.gov/bill/117th-congress/house-bill/8337,117th Congress (2021-2022),Carbon Sequestration Collaboration Act,"Rep. Lucas, Frank D. [R-OK-3]",2022-07-12,,"House - Science, Space, and Technology, Energy and Commerce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
36,H.R. 8331,https://www.congress.gov/bill/117th-congress/house-bill/8331,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to temporarily suspend required minimum distribution rules for certain retirement plans and accounts.,"Rep. Davidson, Warren [R-OH-8]",2022-07-12,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
37,H.R. 8329,https://www.congress.gov/bill/117th-congress/house-bill/8329,117th Congress (2021-2022),Military Threat Awareness Act of 2022,"Rep. Bacon, Don [R-NE-2]",2022-07-12,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
38,H.R. 8317,https://www.congress.gov/bill/117th-congress/house-bill/8317,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to provide an increased tax credit for combined photovoltaic and thermal technology.,"Rep. Steube, W. Gregory [R-FL-17]",2022-07-07,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
39,H.R. 8310,https://www.congress.gov/bill/117th-congress/house-bill/8310,117th Congress (2021-2022),Well Primacy Certainty Act,"Rep. McKinley, David B. [R-WV-1]",2022-07-07,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
40,H.R. 8307,https://www.congress.gov/bill/117th-congress/house-bill/8307,117th Congress (2021-2022),Steven’s Law,"Rep. Jacobs, Chris [R-NY-27]",2022-07-07,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
41,H.R. 8306,https://www.congress.gov/bill/117th-congress/house-bill/8306,117th Congress (2021-2022),FINE Act,"Rep. Hudson, Richard [R-NC-8]",2022-07-07,,"House - Energy and Commerce, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
42,H.R. 8305,https://www.congress.gov/bill/117th-congress/house-bill/8305,117th Congress (2021-2022),Defense Maintenance Data Transparency Act,"Rep. Foxx, Virginia [R-NC-5]",2022-07-07,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
43,H.R. 8299,https://www.congress.gov/bill/117th-congress/house-bill/8299,117th Congress (2021-2022),To allow for devices with a predetermined change control plan to be marketed without submitting a supplemental application or premarket notification if the changes to such devices are consistent with such plan.,"Rep. Bilirakis, Gus M. [R-FL-12]",2022-07-07,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
44,H.R. 8298,https://www.congress.gov/bill/117th-congress/house-bill/8298,117th Congress (2021-2022),"To direct the Secretary of Defense to develop a plan to ensure reasonable access to the Junior Reserve Officers' Training Corps, and for other purposes.","Rep. Bacon, Don [R-NE-2]",2022-07-07,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
45,H.R. 8290,https://www.congress.gov/bill/117th-congress/house-bill/8290,117th Congress (2021-2022),Make American Flags in America Act of 2022,"Rep. Stefanik, Elise M. [R-NY-21]",2022-07-05,,"House - Judiciary, Energy and Commerce","Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
46,H.R. 8283,https://www.congress.gov/bill/117th-congress/house-bill/8283,117th Congress (2021-2022),Federal Employee Student Debt Transparency Act,"Rep. Budd, Ted [R-NC-13]",2022-07-05,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,July,2022
47,H.R. 8280,https://www.congress.gov/bill/117th-congress/house-bill/8280,117th Congress (2021-2022),Preventing Terrorist Transfers to Afghanistan Act,"Rep. Turner, Michael R. [R-OH-10]",2022-07-01,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,July,2022
48,H.R. 8274,https://www.congress.gov/bill/117th-congress/house-bill/8274,117th Congress (2021-2022),PASS Act of 2022,"Rep. Stefanik, Elise M. [R-NY-21]",2022-07-01,,"House - Financial Services, Foreign Affairs, Energy and Commerce","Referred to the Committee on Financial Services, and in addition to the Committees on Foreign Affairs, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
49,H.R. 8273,https://www.congress.gov/bill/117th-congress/house-bill/8273,117th Congress (2021-2022),Small Business Payment for Performance Act of 2022,"Rep. Stauber, Pete [R-MN-8]",2022-07-01,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Reupblican,July,2022
50,H.R. 8268,https://www.congress.gov/bill/117th-congress/house-bill/8268,117th Congress (2021-2022),Disarm the IRS Act,"Rep. Gaetz, Matt [R-FL-1]",2022-07-01,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
51,H.R. 8267,https://www.congress.gov/bill/117th-congress/house-bill/8267,117th Congress (2021-2022),Container Missile Notification Act,"Rep. Fallon, Pat [R-TX-4]",2022-07-01,,House - Intelligence (Permanent Select),Referred to the House Committee on Intelligence (Permanent Select).,introduced,Reupblican,July,2022
52,H.R. 8263,https://www.congress.gov/bill/117th-congress/house-bill/8263,117th Congress (2021-2022),Protecting Life on Federal Lands Act,"Rep. Boebert, Lauren [R-CO-3]",2022-07-01,,House - Transportation and Infrastructure,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",introduced,Reupblican,July,2022
53,H.R. 8259,https://www.congress.gov/bill/117th-congress/house-bill/8259,117th Congress (2021-2022),Arms Exports Delivery Solutions Act,"Rep. Kim, Young [R-CA-39]",2022-07-01,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,July,2022
54,H.R. 8258,https://www.congress.gov/bill/117th-congress/house-bill/8258,117th Congress (2021-2022),Federal Interior Land Media Act,"Rep. Fulcher, Russ [R-ID-1]",2022-07-01,,"House - Natural Resources, Agriculture",Subcommittee Hearings Held.,introduced,Reupblican,July,2022
55,H.R. 8253,https://www.congress.gov/bill/117th-congress/house-bill/8253,117th Congress (2021-2022),Fostering Innovation and Research to Strengthen Tomorrow Act,"Rep. Walorski, Jackie [R-IN-2]",2022-06-28,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,June,2022
56,H.R. 8252,https://www.congress.gov/bill/117th-congress/house-bill/8252,117th Congress (2021-2022),No Patient Left Alone Act of 2022,"Rep. Van Drew, Jefferson [R-NJ-2]",2022-06-28,,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
57,H.R. 8250,https://www.congress.gov/bill/117th-congress/house-bill/8250,117th Congress (2021-2022),Copyright Clause Restoration Act of 2022,"Rep. Steube, W. Gregory [R-FL-17]",2022-06-28,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
58,H.R. 8246,https://www.congress.gov/bill/117th-congress/house-bill/8246,117th Congress (2021-2022),Disclosing Foreign Influence in Lobbying Act,"Rep. Miller-Meeks, Mariannette [R-IA-2]",2022-06-28,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,June,2022
59,H.R. 8245,https://www.congress.gov/bill/117th-congress/house-bill/8245,117th Congress (2021-2022),"To require the Secretary of Health and Human Services to award grants to support community-based coverage entities to carry out a comprehensive coverage program that provides to qualifying individuals and small businesses health coverage and integrated social determinant of health support services to small business workers that promote improved health, long-term economic self-sufficiency, employment and retention, and for other purposes.","Rep. Huizenga, Bill [R-MI-2]",2022-06-28,,"House - Energy and Commerce, Education and Labor","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
60,H.R. 8244,https://www.congress.gov/bill/117th-congress/house-bill/8244,117th Congress (2021-2022),"To require the Secretary of the Treasury to mint coins in commemoration of the Granite Mountain Hotshots who fought the Yarnell Hill Fire, and for other purposes.","Rep. Gosar, Paul A. [R-AZ-4]",2022-06-28,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,June,2022
61,H.R. 8242,https://www.congress.gov/bill/117th-congress/house-bill/8242,117th Congress (2021-2022),National Debt is National Security Act,"Rep. Franklin, C. Scott [R-FL-15]",2022-06-28,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,June,2022
62,H.R. 8240,https://www.congress.gov/bill/117th-congress/house-bill/8240,117th Congress (2021-2022),Military Energy Security Act of 2022,"Rep. Bacon, Don [R-NE-2]",2022-06-28,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,June,2022
63,H.R. 8235,https://www.congress.gov/bill/117th-congress/house-bill/8235,117th Congress (2021-2022),Housing Supply Expansion Act,"Rep. Van Duyne, Beth [R-TX-24]",2022-06-24,,"House - Education and Labor, Financial Services","Referred to the Committee on Education and Labor, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
64,H.R. 8232,https://www.congress.gov/bill/117th-congress/house-bill/8232,117th Congress (2021-2022),DPA Reform Act of 2022,"Rep. Perry, Scott [R-PA-10]",2022-06-24,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,June,2022
65,H.R. 8230,https://www.congress.gov/bill/117th-congress/house-bill/8230,117th Congress (2021-2022),BUILD IT Act,"Rep. Miller-Meeks, Mariannette [R-IA-2]",2022-06-24,,"House - Oversight and Reform, Homeland Security, Armed Services","Referred to the Subcommittee on Border Security, Facilitation, and Operations.",introduced,Reupblican,June,2022
66,H.R. 8228,https://www.congress.gov/bill/117th-congress/house-bill/8228,117th Congress (2021-2022),Death Penalty for Dealing Fentanyl Act of 2022,"Rep. Gosar, Paul A. [R-AZ-4]",2022-06-24,,"House - Judiciary, Energy and Commerce","Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
67,H.R. 8225,https://www.congress.gov/bill/117th-congress/house-bill/8225,117th Congress (2021-2022),"To amend title 38, United States Code, to improve the treatment of anesthesiologist assistants in the Veterans Health Administration of the Department of Veterans Affairs.","Rep. Cawthorn, Madison [R-NC-11]",2022-06-24,,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,introduced,Reupblican,June,2022
68,H.R. 8224,https://www.congress.gov/bill/117th-congress/house-bill/8224,117th Congress (2021-2022),Fueling American Prosperity Act,"Rep. Boebert, Lauren [R-CO-3]",2022-06-24,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Reupblican,June,2022
69,H.R. 8223,https://www.congress.gov/bill/117th-congress/house-bill/8223,117th Congress (2021-2022),Citizen Ballot Protection Act,"Rep. Palmer, Gary J. [R-AL-6]",2022-06-24,,House - House Administration,Referred to the House Committee on House Administration.,introduced,Reupblican,June,2022
70,H.R. 8222,https://www.congress.gov/bill/117th-congress/house-bill/8222,117th Congress (2021-2022),"To amend the National Voter Registration Act of 1993 to eliminate reliance on the change of address information provided by the United States Postal Service for the purpose of removing ineligible voters from the official list of voters in a State, and for other purposes.","Rep. Palmer, Gary J. [R-AL-6]",2022-06-24,,House - House Administration,Referred to the House Committee on House Administration.,introduced,Reupblican,June,2022
71,H.R. 8221,https://www.congress.gov/bill/117th-congress/house-bill/8221,117th Congress (2021-2022),"To amend the National Voter Registration Act of 1993 to require States to submit a report to the Election Assistance Commission that includes information with respect to the voter list maintenance activities of the State, and for other purposes.","Rep. Palmer, Gary J. [R-AL-6]",2022-06-24,,House - House Administration,Referred to the House Committee on House Administration.,introduced,Reupblican,June,2022
72,H.R. 8219,https://www.congress.gov/bill/117th-congress/house-bill/8219,117th Congress (2021-2022),Justice for American Victims Of Terrorism Act of 2022,"Rep. Weber, Randy K., Sr. [R-TX-14]",2022-06-23,,"House - Judiciary, Foreign Affairs","Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
73,H.R. 8218,https://www.congress.gov/bill/117th-congress/house-bill/8218,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 619 Hewett Street in Neillsville, Wisconsin, as the ""Corporal Mitchell Red Cloud, Jr. Post Office"".","Rep. Tiffany, Thomas P. [R-WI-7]",2022-06-23,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,June,2022
74,H.R. 8217,https://www.congress.gov/bill/117th-congress/house-bill/8217,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 430 South Knowles Avenue in New Richmond, Wisconsin, as the ""Captain Robert C. Harmon and Private John R. Peirson Post Office Building"".","Rep. Tiffany, Thomas P. [R-WI-7]",2022-06-23,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,June,2022
75,H.R. 8214,https://www.congress.gov/bill/117th-congress/house-bill/8214,117th Congress (2021-2022),Permanent Extension of Rate Cuts and Extension of National Tax Simplification Act of 2022,"Rep. Schweikert, David [R-AZ-6]",2022-06-23,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,June,2022
76,H.R. 8212,https://www.congress.gov/bill/117th-congress/house-bill/8212,117th Congress (2021-2022),Stop Child Abuse Act,"Rep. Nehls, Troy E. [R-TX-22]",2022-06-23,,"House - Education and Labor, Energy and Commerce, Foreign Affairs, Ways and Means, Oversight and Reform, Financial Services","Referred to the Committee on Education and Labor, and in addition to the Committees on Energy and Commerce, Foreign Affairs, Ways and Means, Oversight and Reform, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,June,2022
